"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/how-to-find-the-right-customer-support-platform/untitled-6-1.avif","image/avif","43360","5","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/it-support-in-orange-county-with-new-alsafeit-newport-office/blog-images-6-orange-county-press-release.jpeg","image/jpeg","259373","2","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/industry/it-services-for-business-management-los-angeles/verve.avif","image/avif","26424","2","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/industry/it-services-for-manufacturing-los-angeles/89.avif","image/avif","54454","2","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/return-policy/allsafe-it-return-policy.jpeg","image/jpeg","44420","121","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/dont-get-held-hostage-by-ransomware/dont-get-held-hostage-by-ransomware-1.png","image/png","336482","3","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/asian-americans-and-pacific-islanders-in-tech/blog-post-aapi-month.jpeg","image/jpeg","189949","3","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/brute-force-password/blog-post-brute-force-password-attacks-title.avif","image/avif","11456","3","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/is-your-i-t-guy-treating-you-like-a-bad-date/is-your-it-guy-treating-you-like-a-bad-date.png","image/png","190405","3","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/cloud-migration-best-practices/main-cloud-migration-best-practices-and-developing-your-migration-plan.jpeg","image/jpeg","248302","2","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/cloud-server-security/main-cloud-server-security-essential-cloud-security-best-practices.jpeg","image/jpeg","456024","2","Indexable","",""
"https://allsafeit-astro-website.little-wind-986c.workers.dev/images/blog/best-file-sharing-software-platforms/best-file-sharing-software-platforms-for-business.png","image/png","320985","3","Indexable","",""
